Study Area,XRF_Setting,Sample_Type,Source_Zone,Source_Specific,Sample_ID,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_55,154.6,40.7,37.5,175.3,12.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_56_1,117.7,32.7,35.7,143.8,9.7,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_56_10,136.2,36.0,32.0,160.2,12.1,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_56_11,131.1,34.1,35.4,152.3,12.7,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_56_12,134.4,34.0,34.8,152.2,10.4,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_56_13,139.1,39.1,38.0,164.2,9.4,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_56_14,142.0,41.6,38.6,166.9,10.5,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_56_15,125.8,33.0,32.2,178.0,13.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_56_16,133.4,35.7,40.3,159.4,10.3,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_56_17,107.3,34.1,40.7,102.7,6.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_56_2,135.2,39.3,37.8,168.6,10.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_56_3,113.0,30.4,31.2,134.8,9.2,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_56_4,131.1,36.6,35.0,164.8,10.6,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_56_5,126.1,33.5,31.2,133.6,7.4,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_56_6,130.9,35.8,31.2,160.3,12.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_56_7,144.3,44.9,38.8,185.4,11.9,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_56_8,142.7,46.8,38.1,173.4,12.9,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_56_9,126.6,36.6,35.9,152.5,10.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_1,148.2,40.0,33.4,162.2,13.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_10,110.8,36.1,32.1,141.5,11.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_11,139.3,36.8,33.9,158.0,12.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_12,132.8,40.3,37.8,174.6,12.9,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_13,136.7,34.8,36.0,161.2,12.1,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_14,153.9,43.5,35.6,171.3,10.9,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_15,135.8,43.8,38.4,177.0,11.1,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_16,140.2,42.0,36.5,167.2,13.5,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_17,145.7,41.4,35.9,160.2,13.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_18,141.8,37.9,37.2,188.0,12.4,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_19,135.5,41.5,39.4,162.7,11.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_2,130.5,37.0,38.4,160.9,11.7,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_20,142.6,41.9,34.0,164.4,13.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_21,128.6,37.4,37.2,172.1,9.4,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_22,154.6,36.5,37.5,172.9,13.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_23,141.4,43.8,37.3,168.4,10.1,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_24,133.3,36.2,34.4,174.0,12.3,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_25,129.4,34.8,36.9,174.0,11.7,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_26,138.3,34.9,37.6,159.4,12.3,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_27,159.6,39.7,40.7,185.7,16.5,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_28,149.7,39.7,44.2,186.3,13.9,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_29,172.1,41.9,39.9,192.2,11.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_3,140.8,36.3,37.8,154.2,9.5,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_30,135.1,38.7,36.7,176.6,10.2,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_31,160.6,38.7,37.5,179.2,11.9,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_33,142.6,36.9,34.9,157.3,12.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_34,163.4,37.9,38.1,174.7,14.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_35,146.7,37.2,40.2,162.0,11.3,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_36,140.1,39.8,33.4,151.8,9.6,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_37,156.4,43.7,39.2,175.5,13.2,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_38,133.7,39.7,35.1,150.2,12.4,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_39,133.3,40.9,30.9,170.6,11.3,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_4,139.2,34.9,35.9,161.7,12.5,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_40,146.5,40.2,42.7,203.8,14.2,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_41,159.2,45.4,43.7,169.5,11.0,,,,
