Surrogate code,Study Area,XRF_Setting,Sample_Type,Source_Zone,Source_Specific,Sample_ID,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Si_ppm,Ti_ppm,Al_ppm,Fe_ppm,Mn_ppm,Mg_ppm,Ca_ppm,Na_ppm,K_ppm,Bag_Info
Suco201443,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_17_5,142.9,34.6,35.3,173.9,11.8,,,,,,,,,,
Suco201444,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_17_6,138.4,38.7,36.4,176.0,11.4,,,,,,,,,,
Suco201445,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_17_7,146.8,37.0,34.7,163.2,11.0,,,,,,,,,,
Suco201446,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_17_8,139.6,38.8,35.8,164.3,13.8,,,,,,,,,,
Suco201447,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_17_9,127.1,38.2,40.6,145.0,10.1,,,,,,,,,,
Suco201448,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_1,133.1,37.4,35.1,179.6,13.1,,,,,,,,,,
Suco201449,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_10,141.2,36.1,31.9,151.0,12.7,,,,,,,,,,
Suco201450,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_11,139.4,36.8,39.3,165.9,11.7,,,,,,,,,,
Suco201451,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_12,143.2,38.0,35.7,167.3,13.1,,,,,,,,,,
Suco201452,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_13,134.1,36.4,36.9,164.9,10.6,,,,,,,,,,
Suco201453,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_14,148.0,39.9,39.3,180.4,10.3,,,,,,,,,,
Suco201454,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_15,131.2,38.6,36.4,158.1,12.7,,,,,,,,,,
Suco201455,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_16,136.0,32.8,41.6,175.3,11.8,,,,,,,,,,
Suco201456,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_17,147.7,44.1,39.7,172.5,10.4,,,,,,,,,,
Suco201457,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_18,139.0,39.7,39.0,171.3,7.4,,,,,,,,,,
Suco201458,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_19,141.4,36.4,34.1,160.6,12.2,,,,,,,,,,
Suco201459,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_2,140.1,40.1,34.2,148.3,11.0,,,,,,,,,,
