Surrogate code,Sample_Type,Sample_ID,Study Area,Source_Specific
Suco2014194,Artefact,HB_FS_21_57_40,Helena Bay,Huruiki
Suco2014195,Artefact,HB_FS_21_57_41,Helena Bay,Huruiki
Suco2014196,Artefact,HB_FS_21_57_42,Helena Bay,Huruiki
Suco2014197,Artefact,HB_FS_21_57_43,Helena Bay,Huruiki
Suco2014198,Artefact,HB_FS_21_57_44,Helena Bay,Huruiki
Suco2014199,Artefact,HB_FS_21_57_45,Helena Bay,Huruiki
Suco2014200,Artefact,HB_FS_21_57_46,Helena Bay,Huruiki
Suco2014201,Artefact,HB_FS_21_57_47,Helena Bay,Huruiki
Suco2014202,Artefact,HB_FS_21_57_48,Helena Bay,Huruiki
Suco2014203,Artefact,HB_FS_21_57_49,Helena Bay,Huruiki
Suco2014204,Artefact,HB_FS_21_57_5,Helena Bay,Huruiki
Suco2014205,Artefact,HB_FS_21_57_50,Helena Bay,Huruiki
Suco2014206,Artefact,HB_FS_21_57_51,Helena Bay,Huruiki
Suco2014207,Artefact,HB_FS_21_57_52,Helena Bay,Huruiki
Suco2014208,Artefact,HB_FS_21_57_53,Helena Bay,Huruiki
Suco2014209,Artefact,HB_FS_21_57_54,Helena Bay,Huruiki
Suco2014210,Artefact,HB_FS_21_57_55,Helena Bay,Huruiki
Suco2014211,Artefact,HB_FS_21_57_56,Helena Bay,Huruiki
Suco2014212,Artefact,HB_FS_21_57_57,Helena Bay,Huruiki
Suco2014213,Artefact,HB_FS_21_57_58,Helena Bay,Huruiki
Suco2014214,Artefact,HB_FS_21_57_59,Helena Bay,Huruiki
Suco2014215,Artefact,HB_FS_21_57_6,Helena Bay,Huruiki
Suco2014216,Artefact,HB_FS_21_57_60,Helena Bay,Huruiki
Suco2014217,Artefact,HB_FS_21_57_62,Helena Bay,Huruiki
Suco2014218,Artefact,HB_FS_21_57_63,Helena Bay,Huruiki
Suco2014219,Artefact,HB_FS_21_57_64,Helena Bay,Huruiki
Suco2014220,Artefact,HB_FS_21_57_65,Helena Bay,Huruiki
